nr,titel,artiest,jaar
379,Breakfast in America,Supertramp,1979
380,Fernando,ABBA,1976
381,Rivers of Babylon,Boney M,1978
382,Driver’s seat,Sniff 'n the Tears,1980
383,Keep on loving you,REO Speedwagon,1981
384,American pie,Don McLean,1972
385,Listen to the music,Doobie Brothers,1972
386,Message to my girl,Split Enz,1984
387,Psychokiller,Talking Heads,1978
388,Gloria,Them,1967
389,Think twice,Celine Dion,1995
390,Suzanne,Leonard Cohen,1968
391,Make me smile,Steve Harley & Cockney Rebel,1975
392,Live to tell,Madonna,1986
393,Fast car,Tracy Chapman,1988
394,Jessica,Allman Brothers Band,1976
395,Get back,Beatles,1969
396,'t Is een kwestie van geduld,Rowwen Heze,1996
397,Beautiful noise,Neil Diamond,1976
398,Love is all around,Wet Wet Wet,1994
399,Avalon,Roxy Music,1982
400,Mister blue,René Klijn,1993
401,Het werd zomer,Rob de Nijs,1977
402,Respect,Aretha Franklin,1967
403,Don't answer me,Alan Parsons Project,1984
404,As long as you love me,Backstreet boys,1997
405,Sweet home Alabama,Lynyrd Skynyrd,1974
406,Aquarius/ Let the sunshine in,5th Dimension,1969
407,I say a little prayer,Aretha Franklin,1968
408,Top of the world,Carpenters,1973
409,Lucky man,Emerson Lake & Palmer,1971
410,In the year 2525,Zager & Evans,1969
411,The air that I breathe,Hollies,1974
412,Happy X-mas (war is over),John Lennon & Yoko Ono,1972
413,Blackbird,Beatles,1969
414,It’s all over now,Rolling Stones,1964
415,One step beyond,Madness,1979
416,I’d do anything for love,Meat Loaf,1993
417,Relight my fire,Dan Hartman,1980
418,Eres tu,Mocedades,1973
419,Run to you,Bryan Adams,1985
420,Biko,Peter Gabriel,1986
421,Wild horses,Rolling Stones,1971
422,Golden brown,Stranglers,1982
423,I'm the walrus,Beatles,1967
424,Too much love will kill you,Brian May,1992
425,The promise you made,Cock Robin,1986
426,Killing  me softly with his song,Roberta Flack,1973
427,Orinoco flow,Enya,1988
428,Avond,Boudewijn de Groot,1997
429,Love is a battle field,Pat Benatar,1984
430,Mississippi,Pussycat,1975
431,Hold the line,Toto,1979
432,Romeo and Juliet,Dire Straits,1981
433,Zonder jou,Paul de Leeuw en Simone Kleinsma,1995
434,How can we hang on to a dream,Tim Hardin,1967
435,Holding back the years,Simply Red,1985
436,Storm and thunder,Earth & Fire,1971
437,In the Dutch mountains,Nits,1987
438,The load out/Stay,Jackson Browne,1977
439,Heaven must be missing an angel,Tavares,1976
440,Ruby tuesday,Rolling Stones,1991
441,San Francisco,Scott McKenzie,1967
442,Norwegian wood,Beatles,1965
443,The boys of summer,Don Henley,1985
444,Hijo de la luna,Mecano,1990
445,Maria,West Side Story/Leonard Bernstein,1963
446,Streets of London,Ralph McTell,1972
447,Love is all,Roger Glover & Guests,1975
448,To make my life beautiful,Alex Harvey,1972
449,Eve of the war,Jeff Wayne,1978
450,You've got a friend,Carole King,1971
451,Anne,Herman van Veen,1986
452,Spicks & specks,Bee Gees,1967
453,Tears in the morning,Beach Boys,1970
454,The reflex,Duran Duran,1984
455,In the mood,Glenn Miller,1940
456,So lonely,Police,1979
457,25 or 6 to 4,Chicago,1970
458,Follow me follow you,Genesis,1978
459,Susie Q,Creedence Clearwater Revival,1968
460,A different corner,George Michael,1986
461,Night fever,Bee Gees,1978
462,Dodenrit,Drs. P,1974
463,S.O.S.,ABBA,1975
464,Tombe la neige,Adamo,1964
465,True colors,Cyndi Lauper,1986
466,I believe I can fly,R Kelly,1997
467,Zwart-wit,Frank Boeijen Groep,1984
468,Sylvia's mother,Dr. Hook & the Medicine Show,1972
469,Big log,Robert Plant,1981
470,Honky tonky women,Rolling Stones,1969
471,We all stand together,Paul McCartney,1985
472,Sweet dreams,Eurythmics,1983
473,Miss you nights,Cliff Richard,1976
474,"New York, New York",Frank Sinatra,1983
475,(Something inside) So strong,Labi Siffre,1987
476,Rosanna,Toto,1982
477,Here comes the sun,Beatles,1969
478,Atlantis,Donovan,1968
479,I don't like mondays,Boomtown Rats,1979
480,Red red wine,UB 40,1983
481,She's leaving home,Beatles,1967
482,Banger hart,Rob de Nijs,1996
483,Peggy Sue,Buddy Holly,1957
484,My boy,Elvis Presley,1975
485,Like a virgin,Madonna,1984
486,Roof garden,Al Jarreau,1982
487,Hero,Mariah Carey,1993
488,Kingston Town,UB 40,1990
489,Rain and tears,Aphrodite's Child,1968
490,I just can't help believin',Elvis Presley,1972
